Run,MNLI dev acc.,Lexical (entailed),Subseq (entailed),Constituent (entailed),Lexical (nonent),Subseq (nonent),Constituent (nonent),Overall accuracy,ln_subject/object_swap,ln_preposition,ln_relative_clause,ln_passive,ln_conjunction,le_relative_clause,le_around_prepositional_phrase,le_around_relative_clause,le_conjunction,le_passive,sn_NP/S,sn_PP_on_subject,sn_relative_clause_on_subject,sn_past_participle,sn_NP/Z,se_conjunction,se_adjective,se_understood_object,se_relative_clause_on_obj,se_PP_on_obj,cn_embedded_under_if,cn_after_if_clause,cn_embedded_under_verb,cn_disjunction,cn_adverb,ce_embedded_under_since,ce_after_since_clause,ce_embedded_under_verb,ce_conjunction,ce_adverb
Run 60,0.84452367,0.965,0.9912,0.988,0.331,0.038,0.0736,0.564466667,0.222,0.505,0.32,0.003,0.605,0.986,1,0.998,0.841,1,0.006,0.112,0.027,0,0.045,0.956,1,1,1,1,0.317,0,0.044,0,0.007,0.944,1,0.996,1,1
Run 61,0.8399389,0.9624,0.9936,0.985,0.1068,0.0376,0.2066,0.548666667,0,0.11,0.142,0,0.282,0.977,0.993,0.99,0.852,1,0.024,0.027,0.018,0.006,0.113,0.981,1,1,0.987,1,0.609,0,0.25,0.001,0.173,0.941,1,0.984,1,1
Run 62,0.84431994,0.9438,0.9924,0.9982,0.341,0.0574,0.0486,0.563566667,0.223,0.517,0.417,0,0.548,0.968,0.997,0.993,0.761,1,0.039,0.117,0.095,0.005,0.031,0.978,1,1,0.984,1,0.189,0.004,0.046,0.001,0.003,0.992,1,0.999,1,1
Run 63,0.83881813,0.971,0.9968,0.9902,0.1,0.0242,0.1428,0.5375,0,0.09,0.138,0,0.272,0.984,0.996,0.986,0.889,1,0.029,0.027,0.01,0.011,0.044,0.994,1,0.994,0.996,1,0.482,0.002,0.2,0.005,0.025,0.951,1,1,1,1
Run 64,0.846867,0.9678,0.9924,0.996,0.3778,0.0488,0.1478,0.588433333,0.412,0.557,0.408,0.003,0.509,0.982,1,0.989,0.868,1,0.019,0.108,0.067,0.004,0.046,0.969,1,1,0.993,1,0.397,0,0.241,0,0.101,0.99,1,0.99,1,1
Run 65,0.8465614,0.9626,0.9916,0.9864,0.2374,0.0344,0.1228,0.555866667,0.131,0.39,0.278,0,0.388,0.991,0.998,0.994,0.83,1,0.007,0.081,0.036,0.005,0.043,0.976,1,1,0.982,1,0.424,0.001,0.174,0.004,0.011,0.932,1,1,1,1
Run 66,0.8448293,0.9602,0.9928,0.996,0.3028,0.0342,0.1016,0.5646,0.236,0.457,0.352,0.004,0.465,0.991,0.994,0.99,0.826,1,0.003,0.103,0.026,0,0.039,0.974,1,1,0.99,1,0.28,0.015,0.092,0.02,0.101,0.981,1,0.999,1,1
Run 67,0.8423841,0.957,0.9872,0.9936,0.4562,0.0466,0.1354,0.596,0.467,0.616,0.516,0.005,0.677,0.981,1,0.995,0.809,1,0.011,0.114,0.066,0.001,0.041,0.942,1,1,0.994,1,0.376,0.007,0.186,0.002,0.106,0.978,0.998,0.992,1,1
Run 68,0.84635764,0.9688,0.9886,0.9984,0.2652,0.0378,0.0702,0.554833333,0.13,0.408,0.322,0,0.466,0.988,1,0.998,0.858,1,0.007,0.087,0.062,0.001,0.032,0.949,1,1,0.994,1,0.266,0.004,0.047,0.006,0.028,0.992,1,1,1,1
Run 69,0.84248596,0.9648,0.9974,0.9884,0.2082,0.0622,0.1188,0.556633333,0.103,0.367,0.253,0,0.318,0.98,1,0.994,0.85,1,0.016,0.143,0.078,0.009,0.065,0.992,1,1,0.995,1,0.435,0,0.114,0,0.045,0.954,1,0.988,1,1
Run 70,0.8385125,0.9616,0.9942,0.9616,0.0924,0.0382,0.1974,0.5409,0,0.166,0.111,0,0.185,0.977,0.978,0.988,0.865,1,0.016,0.034,0.01,0.014,0.117,0.991,1,0.992,0.991,0.997,0.678,0,0.23,0.003,0.076,0.812,1,0.996,1,1
Run 71,0.8410596,0.951,0.9936,0.9772,0.2072,0.064,0.15,0.557166667,0.06,0.384,0.239,0,0.353,0.984,0.992,0.988,0.791,1,0.019,0.165,0.051,0.009,0.076,0.982,1,0.999,0.989,0.998,0.456,0.002,0.219,0.005,0.068,0.921,1,0.965,1,1
Run 72,0.84411615,0.9742,0.9982,0.9812,0.1372,0.0368,0.1432,0.545133333,0.013,0.237,0.202,0.002,0.232,0.99,0.999,0.995,0.887,1,0.015,0.078,0.048,0.001,0.042,0.993,1,1,0.998,1,0.528,0,0.169,0,0.019,0.917,1,0.989,1,1
